,Ship Name,Record Group,Entry Number,Box or Volume Number,Digital Directory,Start Date,End Date,Assets,Number of Images,Number of Pages,NARA URL,Geographic Focus
1957,JAMESTOWN,24.0,118,Volume 1 of 67,vol001of067,12/25/1844,04/13/1846,1,257,512,http://research.archives.gov/description/7284428,Arctic
1958,JAMESTOWN,24.0,118,Volume 2 of 67,vol002of067,04/14/1846,08/16/1846,1,69,136,http://research.archives.gov/description/7284429,Arctic
1959,JAMESTOWN,24.0,118,Volume 3 of 67,vol003of067,07/13/1847,07/29/1848,1,196,391,http://research.archives.gov/description/7284430,Arctic
1960,JAMESTOWN,24.0,118,Volume 4 of 67,vol004of067,07/30/1848,08/15/1849,1,194,387,http://research.archives.gov/description/7284431,Arctic
1961,JAMESTOWN,24.0,118,Volume 5 of 67,vol005of067,08/16/1849,05/11/1850,1,140,279,http://research.archives.gov/description/7284432,Arctic
1962,JAMESTOWN,24.0,118,Volume 6 of 67,vol006of067,04/15/1851,10/16/1852,1,193,385,http://research.archives.gov/description/7284433,Arctic
1963,JAMESTOWN,24.0,118,Volume 7 of 67,vol007of067,10/17/1852,05/11/1854,1,175,349,http://research.archives.gov/description/7284434,Arctic
1964,JAMESTOWN,24.0,118,Volume 8 of 67,vol008of067,02/22/1855,12/31/1855,1,156,311,http://research.archives.gov/description/7284435,Arctic
1965,JAMESTOWN,24.0,118,Volume 9 of 67,vol009of067,01/01/1856,01/25/1857,1,197,393,http://research.archives.gov/description/7284436,Arctic
1966,JAMESTOWN,24.0,118,Volume 10 of 67,vol010of067,01/25/1857,06/06/1857,1,136,271,http://research.archives.gov/description/7284437,Arctic
1967,JAMESTOWN,24.0,118,Volume 11 of 67,vol011of067,12/16/1857,12/31/1858,1,196,390,http://research.archives.gov/description/7284438,Arctic
1968,JAMESTOWN,24.0,118,Volume 12 of 67,vol012of067,01/01/1859,12/22/1859,1,188,375,http://research.archives.gov/description/7284439,Arctic
1969,JAMESTOWN,24.0,118,Volume 13 of 67,vol013of067,12/23/1859,02/14/1860,1,30,59,http://research.archives.gov/description/7284440,Arctic
1970,JAMESTOWN,24.0,118,Volume 14 of 67,vol014of067,06/05/1861,06/23/1862,1,193,385,http://research.archives.gov/description/7284441,Arctic
1971,JAMESTOWN,24.0,118,Volume 15 of 67,vol015of067,06/24/1862,07/09/1863,1,193,385,http://research.archives.gov/description/7284442,Arctic
